特征,特征重要性值
nAtomLC,0.0008365710211403403
minHCsatu,0.0008278095489114938
MDEC-12,0.0008104879178529358
ETA_Eta,0.0007808041222866269
maxHdsCH,0.0007686796353638097
ATSm2,0.0007677983636743557
MDEO-22,0.0007658399593932603
maxaaaC,0.0007574022206230768
nHBint10,0.0007442229911815529
MW,0.0007275001082703163
ATSm3,0.0007051316147299531
maxHCsatu,0.0007032686217421714
WPOL,0.0006786156384492605
ETA_Alpha,0.0006775208066592791
maxHBint9,0.0006742690820657927
SP-2,0.0006713080407619969
nwHBa,0.0006680702515798924
ATSm4,0.0006659973206298397
ETA_Eta_R,0.0006608859711594108
AMR,0.0006569119952818171
minsF,0.0006492777641220331
VP-2,0.0006403902230283933
SaaS,0.0006386242538463645
maxdO,0.0006368437024448148
ATSp4,0.0006343906702419377
WPATH,0.0006337704085647949
SHBint4,0.0006326328212193022
ETA_Epsilon_3,0.0006288249105173432
nBondsS,0.0006221222937207116
CrippenMR,0.0006119832752339168
ETA_EtaP_L,0.0006117170208236237
SHaaNH,0.0006020529822983189
nH,0.0005954298926076802
ETA_BetaP_ns,0.0005927798756846311
SHBint2,0.0005836013474234898
SHBint9,0.0005710127324859291
nssCH2,0.0005610831324862816
minaaS,0.0005541642744318417
ATSp2,0.0005457693344067948
nHBint6,0.0005408016600851332
SP-0,0.0005337069654529476
SP-3,0.0005333770447414219
ETA_dEpsilon_A,0.0005297804629690477
ATSp3,0.0005266469443383859
apol,0.0005252287061242467
ETA_Eta_L,0.0005224150528132857
WTPT-1,0.0005214790931066235
maxdS,0.0005206868999144973
SC-4,0.0005192314230789936
mindsN,0.0005157781588134566
nBondsS3,0.0005086606252809316
MDEN-23,0.0005031349642529872
SdsCH,0.0004983514247190549
ETA_dPsi_A,0.0004910145748632681
nFG12Ring,0.0004826540774944894
nHBAcc2,0.00047836669433688446
nAromBond,0.00047506673631319396
HybRatio,0.0004738905231266574
maxaaN,0.0004353397849888622
ETA_Beta_s,0.0004212667225430992
maxsF,0.00042104846403056607
maxHBint4,0.00041702554891109053
VC-6,0.0004137821807765288
naasC,0.0004134005177989017
SHBint3,0.0004131226548888015
MDEC-14,0.0004113801813454695
McGowan_Volume,0.00041049881903847796
VP-1,0.0004097454249595531
VC-4,0.00040780301525429857
nTRing,0.0004041514517109797
nsssCH,0.00040311895541953667
maxssNH,0.00040294725115278733
C2SP2,0.0004000065926157652
ETA_Beta_ns,0.0003936435816776738
maxdsN,0.00038801063334467753
nHaaCH,0.00038714432675482103
SdS,0.00038421519285095995
VP-0,0.00038051496882008273
SaaaC,0.0003770654704035256
MDEC-34,0.0003754658639693004
nssS,0.000358205481704756
minHBint3,0.0003569615688139105
MDEC-11,0.00035414753515209345
SaaN,0.00035316906137742855
ETA_Shape_X,0.0003503297142709428
nX,0.0003459595066731883
SdsN,0.00034249812685225136
mindsCH,0.0003327024028020325
maxHBint2,0.0003289185333755604
nTG12Ring,0.00032861073243217823
minaaN,0.0003281366099174105
C1SP3,0.0003174320005609951
ETA_Psi_1,0.0003129986525682971
nHBint8,0.00031125247043249155
maxdsCH,0.0003111818527267177
C4SP3,0.0002968210523253214
nBondsM,0.00029585202792574043
n6Ring,0.00029546515790530663
minssssC,0.00029477189999869253
nBondsD,0.0002936647680835126
minssS,0.00029251994356417393
minaaaC,0.00028918204935811565
nN,0.0002856528377138737
nT6Ring,0.0002775607959192234
SHssNH,0.00027575514314683784
SP-1,0.00027089269293434126
maxHBint3,0.0002699099671849604
Zagreb,0.000263499343933852
nHother,0.0002603509179351505
maxHAvin,0.0002522098546046503
SaaO,0.00025211158327906113
minHaaNH,0.0002471643510757231
SssS,0.00024392958262263643
nBonds2,0.00023388928605587957
nT9Ring,0.00023315122563360657
nAtom,0.00023226420228594641
Kier1,0.00022221816312760763
nT12Ring,0.00022159952578661838
ETA_Eta_R_L,0.0002190452725831469
SssssC,0.00021569364389540302
nHBint9,0.00021501756851453308
nHBd,0.0002130693271882339
